,source,dtype,Nancount,DataPerc,Zerocount,count,mean,std,min,25%,50%,75%,max
Location Epoch Time [sec],localization,float64,0,100,0,636822,1643874751,33017.88937,1643813400,1643881065,1643890781,1643896561,1643901420
Sidelink Epoch Time [sec],sidelink,float64,0,100,0,636822,1643874751,33017.88937,1643813400,1643881065,1643890781,1643896561,1643901420
Time Difference [sec],preprocessed,float64,0,100,48,636822,0.002326006,0.001431039,0,0.001078844,0.002240181,0.003531873,0.004999876
X-coordinate [m],localization,float64,0,100,0,636822,3.260418175,2.047986053,-0.000499723,2.099554689,3.208312846,4.692636323,6.300499723
Y-coordinate [m],localization,float64,0,100,0,636822,4.140623607,2.987871284,-0.000499581,1.204072712,4.332975522,6.41566888,9.000499723
SNR [dB],sidelink,float64,0,100,0,636822,15.85946696,4.227140962,0.566925,12.6605,15.79845,19.0507,32.6863
RSRP [dBm],sidelink,float64,0,100,0,636822,-49.15584591,4.299748027,-84.3388,-51.6289,-49.1126,-46.3346,-26.406
RSSI [dBm],sidelink,float64,0,100,0,636822,-21.33895571,4.277642006,-56.564,-23.7896,-21.2853,-18.5396,1.11301
Noise Power,sidelink,float64,0,100,0,636822,0.241358373,0.393640816,0.000508922,0.095871975,0.18189,0.33506375,118.737
Time [sec],sidelink,float64,0,100,0,636822,1136082901,6865.949675,1136073602,1136076176,1136081975,1136089504,1136095462
Fraction Time [sec],sidelink,float64,0,100,0,636822,0.495790062,0.288581733,-0.0039992,0.24600525,0.4957415,0.745598,0.996
Frame Number,sidelink,int32,0,100,880,636822,512.0397144,295.2867556,0,257,512,768,1023
Subframe Number,sidelink,int32,0,100,5,636822,5.008858048,2.68246034,0,3,6,7,9
UHD Rx Gain [dB],sidelink,float64,0,100,0,636822,61.12964847,4.808120577,17,59,62,64,76
SCI FRL N,sidelink,int32,0,100,0,636822,10,0,10,10,10,10,10
SCI FRL L,sidelink,int32,0,100,636822,636822,0,0,0,0,0,0,0
RLC Header SN,sidelink,int32,0,100,683,636822,510.8289098,295.9107761,0,254,511,767,1023
Source AGV Index,sidelink,int32,0,100,0,636822,1.81315344,0.754951757,1,1,2,2,3
Destination AGV Index,sidelink,int32,0,100,0,636822,1.840839355,0.7691244,1,1,2,2,3
Wall Scenario,manual,object,0,100,0,,,,,,,,
timestamp,,"datetime64[ns, Europe/Berlin]",0,100,0,636822,,,2022-02-02 15:50:00.037815+01:00,,,,2022-02-03 16:16:59.970383+01:00
